mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.677755355834961,0.8409449329735286,0.06367079416910808,0.002950845392645728,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9691142191142191,0.9737609329446064,0.9749271137026239,0.9726007552538164,0.0025109022388550904,3
28.621060609817505,0.13032905829274036,0.12665430704752603,0.005147400642406334,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9749271137026239,0.9735722327559063,0.0019160910102490015,1
14.646653254826864,1.7417527209861672,0.0800458590189616,0.024706193736597173,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9673659673659674,0.9760932944606414,0.9720116618075801,0.9718236412113962,0.0035653960381047864,5
30.93449322382609,2.0135715560782304,0.11920952796936035,0.0037022931445051086,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9644522144522144,0.9760932944606414,0.9731778425655977,0.9712411171594845,0.004945830898488339,7
14.31028938293457,0.703748335375055,0.0625315507253011,0.00368389651983083,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9638694638694638,0.9731778425655977,0.9667638483965014,0.9679370516105209,0.003889625759521441,11
29.03189166386922,0.8449014138214099,0.12373876571655273,0.012028204834726473,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9644522144522144,0.9731778425655977,0.9667638483965014,0.9681313018047711,0.003691123867794886,10
14.44417961438497,0.45933729505097715,0.0590362548828125,0.0003979270129624557,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.965034965034965,0.9731778425655977,0.9667638483965014,0.9683255519990214,0.0035029323170084757,9
29.697183052698772,1.2945262172504797,0.1205612023671468,0.009054685796012246,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.9638694638694638,0.9714285714285714,0.9673469387755103,0.9675483246911818,0.003089276505139737,12
15.155487140019735,1.215568736723023,0.06202220916748047,0.006462532216211894,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9685314685314685,0.9737609329446064,0.9749271137026239,0.9724065050595664,0.0027811179359700324,4
29.506601730982464,2.4720198939860936,0.08993069330851237,0.020255384507591123,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9708624708624709,0.9749271137026239,0.9749271137026239,0.9735722327559063,0.0019160910102490015,1
15.19384757677714,0.9307568999803703,0.06098580360412598,0.0024097877858648715,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.9673659673659674,0.9760932944606414,0.9720116618075801,0.9718236412113962,0.0035653960381047864,5
20.60492738087972,2.75923607938829,0.06337865193684895,0.011983817666297813,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9644522144522144,0.9760932944606414,0.9731778425655977,0.9712411171594845,0.004945830898488339,7
